HANZI,PINYIN [PLECO],DEF1,TIPO1,DEF2,TIPO2,LESSON,NUMBER,LECCION,NUM,#
票,PIÀO,"boleto, entrada",NOM,,,,,18,37,336
漂亮,PIÀOLIANG,guapa (chica) / bonito (cosas),ADJ,,,,,9,36,337
苹果,PÍNGGUǑ,manzana,NOM,,,,,10,15,338
瓶子,PÍNGZI,botella,NOM,,,11,16,,,339
七,QĪ,siete,NUM,,,,,,,340
妻子,QĪZI,"esposa, esposa e hijos",NOM,,,,,,,341
其实,QÍSHÍ,"en realidad, de hecho",ADV,,,2,17,,,342
其他,QÍTĀ,el resto,PRO,,,15,7,,,343
奇怪,QÍGUÀI,"extraño, sorprendente, raro",ADJ,"sentir sorpresa, sentir asombro",VER,18,16,,,344
骑,QÍ,"montar (animal, bicicleta, etc.)",VER,,,10,8,,,345
起床,QǏCHUÁNG,levantarse,V+O,,,,,11,33,346
起飞,QǏFĒI,despegar (un avión),VER,,,12,9,,,347
起来,QǏLÁI,"levantarse, pararse",V+O,,,13,10,,,348
千,QIĀN,mil,NUM,,,,,15,26,349
铅笔,QIĀNBǏ,lápiz,NOM,,,,,,,350
前面,QIÁNMIÀN,"en frente, adelante, arriba",NOM,,,,,,,351
钱,QIÁN,"dinero, riqueza",NOM,,,,,10,19,352
清楚,QĪNGCHU,"claro, distinguible",ADJ,"tener claro algo, entender",VER,6,4,,,353
晴,QÍNG,"claro, bueno (el clima)",ADJ,,,,,,,354
请,QǏNG,"por favor, invitar, solicitar, pedir",VER,,,,,4,7,355
请假,QǏNGJIÀ,"pedir días libres, pedir vacaciones",V+O,,,17,1,23,4,356
秋,QIŪ,otoño,NOM,,,19,8,,,357
去,QÙ,ir,VER,,,,,6,1,358
去年,QÙNIÁN,año pasado,NOM,,,,,21,21,359
裙子,QÚNZI,"falda, pollera",NOM,,,5,11,,,360
然后,RÁNHÒU,"entonces, después de eso",CON,,,14,3,,,361
让,RÀNG,"pedir, permitir, dejar (a alguien hacer algo), invitar",VER,,,,,13,28,362
热,RÈ,calor,NOM,caliente,ADJ,,,20,13,363
热情,RÈQÍNG,"cordial, entusiasta",ADJ,entusiasmo,NOM,4,6,,,364
人,RÉN,"persona, gente",NOM,,,,,3,5,365
认识,RÈNSHI,"conocer (a alguien), reconocer (a alguien)",VER,,,,,4,1,366
认为,RÈNWÉI,"pensar, considerar, creer, sentir",VER,,,16,3,,,367
认真,RÈNZHĒN,"serio, concienzudo",ADJ,tomar seriamente,VER,4,15,,,368
日,RÌ,"día, sol",NOM,,,,,,,369
容易,RÓNGYÌ,"fácil, accesible",ADJ,,,2,5,22,47,370
如果,RÚGUǑ,"si, en caso de, suponiendo que",CON,,,16,2,,,371
三,SĀN,tres,NUM,,,,,,,372
伞,SǍN,"paraguas, sombrilla",NOM,,,2,15,,,373
商店,SHĀNGDIÀN,tienda,NOM,,,,,17,8,374
上,SHÀNG,encima / pasado / arriba / última / anterior,NOM,subir / asistir (a clase o trabajo),VER,,,9,7,375
上班,SHÀNGBĀN,"ir a trabajar, empezar a trabajar",V+O,,,,,,,376
上网,SHÀNGWǍNG,navegar por internet,V+O,,,15,11,,,377
上午,SHÀNGWǓ,por la mañana,NOM,,,,,9,6,378
少,SHǍO,poco,ADJ,,,,,8,24,379
谁,SHÉI,quién,PI,,,,,3,7,380
身体,SHĒNTǏ,"cuerpo, salud",NOM,,,,,12,14,381
什么,SHÉNME,qué,PI,,,,,4,19,382
生病,SHĒNGBÌNG,"enfermarse, estar enfermo",V+O,,,,,,,383
生气,SHĒNGQÌ,"enojarse, ofenderse",V+O,,,12,3,,,384
生日,SHĒNGRÌ,cumpleaños,NOM,,,,,9,11,385
声音,SHĒNGYĪN,"sonido, ruido",NOM,,,14,14,,,386
十,SHÍ,diez,NUM,,,,,,,387
时候,SHÍHOU,tiempo (momento),NOM,,,,,6,11,388
时间,SHÍJIĀN,tiempo,NOM,,,,,6,15,389
世界,SHÌJIÈ,mundo,NOM,,,15,18,,,390
事情,SHÌQING,"asunto, cosa, negocio",NOM,,,,,,,391
试,SHÌ,"probarse, intentar",VER,,,20,12,17,33,392
是,SHÌ,"ser, estar",VER,,,,,3,2,393
手表,SHǑUBIǍO,reloj de pulsera,NOM,,,,,11sup,12,394
手机,SHǑUJĪ,"celular, teléfono, auricular",NOM,,,,,,,395
瘦,SHÒU,"delgado, demacrado",ADJ,,,2,18,,,396
书,SHŪ,libro,NOM,,,,,10,8,397
叔叔,SHŪSHU,tío (hermano menor del padre),NOM,,,14,11,,,398
舒服,SHŪFU,"cómodo, reconfortante, bien",ADJ,,,3,15,12,4,399
树,SHÙ,árbol,NOM,,,2,4,23sup,12,400
数学,SHÙXUÉ,matemáticas,NOM,,,10,5,,,401
刷牙,SHUĀYÁ,cepillarse / limpiarse los dientes,V+O,,,16,13,,,402
双,SHUĀNG,"par, dos, doble, (número) par",ADJ,,,11,12,,,403
水,SHUǏ,agua,NOM,,,,,12,31,404
水果,SHUǏGUǑ,fruta,NOM,,,,,24,7,405
水平,SHUǏPÍNG,"nivel, estándar",NOM,,,15,2,21,19,406
睡觉,SHUÌJIÀO,"dormir, ir a la cama",V+O,,,,,11,31,407
说,SHUŌ,"hablar, decir",VER,,,,,6,16,408
说话,SHŪOHUÀ,"hablar, decir",V+O,,,,,,,409
司机,SĪJĪ,"conductor, chofer",NOM,,,12,10,11,3,410
四,SÌ,cuatro,NUM,,,,,5,17,411
送,SÒNG,regalar / llevar,VER,,,,,10,24,412
虽然……但是……,SUĪRÁN…DÀNSHÌ,aunque… sin embargo,CON,,,,,,,413
岁,SUÌ,año (edad),CLA,,,,,9,3,414
他,TĀ,"él, a él",PRO,,,,,2,4,415
它,TĀ,él (para animales) / eso (para cosas),PRO,,,,,19,36,416
她,TĀ,"ella, su",PRO,,,,,3,1,417
太,TÀI,demasiado,ADV,,,,,6,10,418
太阳,TÀIYÁNG,"sol, luz solar",NOM,,,12,1,,,419
特别,TÈBIÉ,"especialmente, particularmente, extraordinariamente",ADV,"especial, particular, extraordinario",ADJ,6,7,22,34,420
疼,TÉNG,doloroso,ADJ,,,2,2,12,8,421
踢足球,TĪZÚQIÚ,jugar al fútbol,V+O,,,,,,,422
提高,TÍGĀO,"mejorar, aumentar, elevar",VER,,,15,3,21,24,423
题,TÍ,"tema, asunto, problema",NOM,,,,,,,424
体育,TǏYÙ,"educación física, deportes",NOM,,,10,4,,,425
天气,TIĀNQÌ,tiempo (atmosférico),NOM,,,,,6,9,426
甜,TIÁN,"dulce, azucarado",ADJ,,,3,10,,,427
条,TIÁO,"clas. para cosas largas (pantalones, vestidos, etc.)",CLA,,,3,4,23,45,428
跳舞,TIÀOWǓ,bailar,V+O,,,,,11sup,8,429
听,TĪNG,"escuchar, oír, obedecer",VER,,,,,13,3,430
同事,TÓNGSHÌ,compañero de trabajo,NOM,,,7,1,21,15,431
同学,TÓNGXUÉ,compañero de clase,NOM,,,,,21,14,432
同意,TÓNGYÌ,"estar de acuerdo, consentir, aprobar",VER,,,18,9,,,433
头发,TÓUFA,cabello,NOM,,,16,11,,,434
突然,TŪRÁN,"de repente, abruptamente, inesperadamente",ADV,"repentino, abrupto, inesperado",ADJ,6,2,,,435
图书馆,TÚSHŪGUǍN,biblioteca,NOM,,,11,1,16,3,436
腿,TUǏ,pierna,NOM,,,2,1,,,437
外,WÀI,"afuera, exterior, extranjero",NOM,"otro, lejano, externo",ADJ,,,,,438
完,WÁN,terminar,VER,,,,,20sup,12,439
完成,WÁNCHÉNG,"completar, realizar",V+O,,,15,5,,,440
玩,WÁN,"pasarlo bien, jugar",VER,,,,,,,441
晚上,WǍNSHANG,noche,NOM,,,,,11,26,442
碗,WǍN,"bol, taza, cuenco",NOM,,,20,9,,,443
万,WÀN,diez mil,NUM,,,18,2,,,444
往,WǍNG,hacia,PRE,ir,VER,,,18,10,445
忘记,WÀNGJÌ,"olvidar, pasar por alto",VER,,,11,8,,,446
为,WÈI,para,PRE,,,5,2,11,22,447
为了,WÈILE,"para, con el fin de",PRE,,,17,8,,,448
为什么,WÈISHÉNME,¿por qué? / ¿para qué?,PI,,,,,10,30,449
位,WÈI,clasificador personas (manera educada),CLA,,,19,6,13,31,450
喂（叹词）,WÈI,hola,INT,,,,,,,451
文化,WÉNHUÀ,cultura,NOM,,,15,21,24,37,452
问,WÈN,preguntar,VER,,,,,4,8,453
问题,WÈNTÍ,"pregunta, problema",NOM,,,,,11,38,454
我,WǑ,"yo, mi, me",PRO,,,,,1,4,455
我们,WǑMEN,nosotros,PRO,,,,,,,456
五,WǓ,cinco,NUM,,,,,,,457
西,XĪ,oeste,NOM,occidental,ADJ,12,2,12,36,458
西瓜,XĪGUĀ,sandía,NOM,,,,,,,459
希望,XĪWÀNG,"esperar, desear",VER,"esperanza, deseo",NOM,,,,,460
习惯,XÍGUÀN,estar acostumbrado,VER,"costumbre, hábito",NOM,11,19,20,32,461
洗,XǏ,lavar,VER,,,,,14,13,462
洗手间,XǏSHǑUJIĀN,"baño, lavabo",NOM,,,8,12,12,,463
洗澡,XǏZǍO,"bañarse, ducharse",VER,,,14,5,,,464
喜欢,XǏHUAN,"gustar, preferir",VER,,,,,8,25,465
下,XIÀ,debajo / próximo / abajo / siguiente,NOM,bajar,VER,,,9,9,466
下午,XIÀWǓ,por la tarde,NOM,,,,,9,8,467
下雨,XIÀYǓ,llover,V+O,lluvia,NOM,,,23,52,468
夏,XIÀ,verano,NOM,,,5,10,,,469
先,XIĀN,primero / antes,ADV,,,9,10,16,11,470
先生,XIĀNSHENG,señor,NOM,,,,,4,13,471
现在,XIÀNZÀI,ahora,NOM,ahora,ADV,,,6,12,472
相信,XIĀNGXÌN,"creer, estar convencido, confiar, tener fé",VER,,,18,10,,,473
香蕉,XIĀNGJIĀO,"banana, plátano",NOM,,,14,17,10,14,474
想,XIǍNG,"querer hacer, tener ganas de hacer, creer",VAUX,,,,,12,10,475
向,XIÀNG,"hacia, a",PRE,,,18,1,24,17,476
像,XIÀNG,"parecer, ser como",VER,,,14,8,24,18,477
小,XIǍO,"pequeño, menor",ADJ,,,,,8,11,478
小姐,XIǍOJIĚ,"señorita, chica joven",NOM,,,,,5,13,479
小时,XIǍOSHÍ,hora,NOM,,,,,17,25,480
